
running 272 tests
test commands::preflight::tests::test_activation_gate_config_default ... ok
test commands::preflight::tests::test_activation_gate_config_with_training ... ok
test commands::preflight::tests::test_activation_gate_result_allowed ... ok
test commands::preflight::tests::test_activation_gate_result_blocked ... ok
test commands::preflight::tests::test_activation_gate_result_with_warnings ... ok
test commands::preflight::tests::test_adapter_swap_readiness_structure ... ok
test commands::preflight::tests::test_alias_swap_block_reason_display ... ok
test commands::preflight::tests::test_alias_swap_gate_config_default ... ok
test commands::preflight::tests::test_alias_swap_gate_result_all_pass ... ok
test commands::preflight::tests::test_alias_swap_gate_result_from_readiness ... ok
test commands::preflight::tests::test_check_adapter_file_integrity_missing_file ... ok
test commands::preflight::tests::test_check_result_creation ... ok
test commands::preflight::tests::test_determinism_block_reason_display ... ok
test commands::preflight::tests::test_determinism_block_reason_variants ... ok
test commands::preflight::tests::test_deterministic_swap_gate_config_default ... ok
test commands::preflight::tests::test_deterministic_swap_gate_config_strict ... ok
test commands::preflight::tests::test_deterministic_swap_readiness_blocked ... ok
test commands::preflight::tests::test_deterministic_swap_readiness_ready ... ok
test commands::preflight::tests::test_is_determinism_compatible ... ok
test commands::preflight::tests::test_require_adapter_file_ready_missing ... ok
test commands::preflight_fix::tests::test_fix_mode ... ok
test commands::preflight_fix::tests::test_fix_safety_levels ... ok
test commands::preflight_readiness::tests::test_adapter_readiness_result_methods ... ok
test commands::preflight_readiness::tests::test_readiness_check_creation ... ok
test commands::preflight_readiness::tests::test_check_nonexistent_file ... ok
test commands::preflight_readiness::tests::test_readiness_config_default ... ok
test commands::preflight_readiness::tests::test_require_readiness_error ... ok
test commands::recover::tests::test_parse_invalid_ecode ... ok
test commands::recover::tests::test_parse_valid_ecode ... ok
test commands::recover::tests::test_recovery_action_safety ... ok
test commands::registry::tests::test_get_registry_command_name ... ok
test commands::registry::tests::test_registry_command_clone ... ok
test commands::registry::tests::test_registry_migrate_args_clone ... ok
test commands::preflight_readiness::tests::test_check_empty_file ... ok
test commands::scenario::tests::status_label_formats ... ok
test commands::secd::tests::test_get_secd_command_name ... ok
test commands::secd::tests::test_secd_command_variants ... ok
test commands::stack::tests::test_extract_tenant_from_stack_command ... ok
test commands::stack::tests::test_get_stack_command_name ... ok
test commands::storage::tests::compute_cutover_evidence_marks_unsafe ... ok
test commands::storage::tests::test_default_domains_includes_rag ... ok
test commands::storage::tests::test_get_storage_command_name ... ok
test commands::storage::tests::test_parse_domains_custom ... ok
test commands::storage::tests::test_parse_domains_unknown ... ok
test commands::storage::tests::test_storage_command_clone ... ok
test commands::scenario::tests::loader_defaults_to_workspace_configs_dir ... ok
test commands::scenario::tests::loader_resolves_relative_scenario_dir_argument ... ok
test commands::telemetry::tests::test_get_telemetry_command_name ... ok
test commands::telemetry::tests::test_telemetry_command_clone ... ok
test commands::telemetry::tests::test_verify_command_clone ... ok
test commands::telemetry_show::tests::test_matches_filters_event_type ... ok
test commands::telemetry_show::tests::test_matches_filters_level ... ok
test commands::telemetry_show::tests::test_truncate ... ok
test commands::scenario::tests::loader_respects_explicit_dir_independent_of_cwd ... ok
test commands::scenario::tests::loader_uses_env_relative_to_workspace_root ... ok
test commands::train_cli::tests::maps_lineage_required_and_hash_mismatch ... ok
test commands::train_base_adapter::tests::test_default_args_parse ... ok
test commands::train_base_adapter::tests::test_custom_args_parse ... ok
test commands::train_cli::tests::maps_needs_approval_errors ... ok
test commands::train_base_adapter::tests::test_output_format_values ... ok
test commands::train_cli::tests::maps_trust_errors_to_ui_copy ... ok
test commands::train_cli::tests::requires_dataset_ids_when_not_synthetic ... ok
test commands::train_cli::tests::synthetic_mode_allows_missing_dataset_ids ... ok
test commands::train_cli::tests::synthetic_mode_rejects_dataset_ids ... ok
test commands::trace::tests::test_trace_with_valid_request ... ok
test commands::train::tests::test_training_config_loading ... ok
test commands::train::tests::test_training_data_loading ... ok
test commands::train_docs::tests::base_model_is_taken_from_cli_when_set ... ok
test commands::train_docs::tests::base_model_defaults_from_resolver_when_missing ... ok
test commands::train_docs::tests::register_alone_is_rejected_with_stable_message ... ok
test commands::train_docs::tests::register_with_explicit_ids_is_allowed_shape ... ok
test commands::train_docs::tests::register_with_scenario_is_allowed_shape ... ok
test commands::train_docs::tests::register_with_tenant_only_is_rejected_with_stable_message ... ok
test commands::training_common::tests::test_validate_excessive_rank ... ok
test commands::train_from_code::tests::test_validation_errors ... ok
test commands::training_common::tests::test_validate_high_learning_rate ... ok
test commands::training_common::tests::test_validate_invalid_learning_rate ... ok
test commands::train_from_code::tests::test_validate ... ok
test commands::training_common::tests::test_validate_valid_args ... ok
test commands::training_common::tests::test_validate_large_batch_size ... ok
test commands::training_common::tests::test_validate_zero_epochs ... ok
test commands::training_common::tests::test_validate_zero_rank ... ok
test commands::train_base_adapter::tests::test_validation_rejects_missing_manifest ... ok
test commands::train_base_adapter::tests::test_common_args_validation_is_invoked ... ok
test error_codes::tests::test_code_categories ... ok
test error_codes::tests::test_all_codes_unique ... ok
test error_codes::tests::test_exit_code_categories ... ok
test error_codes::tests::test_exit_code_from_aos_error ... ok
test error_codes::tests::test_exit_code_numeric_values ... ok
test error_codes::tests::test_exit_code_to_i32 ... ok
test error_codes::tests::test_find_by_code ... ok
test formatting::tests::test_format_bytes ... ok
test formatting::tests::test_format_duration ... ok
test formatting::tests::test_format_seconds ... ok
test formatting::tests::test_format_time_ago ... ok
test formatting::tests::test_truncate_hash ... ok
test formatting::tests::test_truncate_id ... ok
test logging::tests::test_operation_logging ... ok
test commands::verify_receipt::tests::golden_bundle_passes ... ok
test logging::tests::test_command_logging ... ok
{"timestamp":"2026-01-05T18:26:10.202150Z","level":"INFO","fields":{"message":"CLI logging initialized","component":"cli"},"filename":"crates/adapteros-cli/src/logging.rs","line_number":59,"threadName":"logging::tests::test_logging_initialization","threadId":"ThreadId(256)"}
test commands::verify_receipt::tests::byte_flip_triggers_trace_tamper ... ok
test output::tests::test_ci_detection ... ok
test output::tests::test_output_mode_json ... ok
test logging::tests::test_logging_initialization ... ok
test output::tests::test_output_mode_quiet ... ok
test output::tests::test_output_mode_text ... ok
test validation::tests::test_cli_error_exit_code_mapping ... ok
test validation::tests::test_deprecated_flag_list_completeness ... ok
test validation::tests::test_deprecated_flags_empty_args ... ok
test validation::tests::test_deprecated_flags_first_match_returned ... ok
test validation::tests::test_deprecated_flags_multiple_args ... ok
test validation::tests::test_deprecated_flags_no_deprecated ... ok
{"timestamp":"2026-01-05T18:26:10.202345Z","level":"WARN","fields":{"message":"Deprecated flag used - please migrate before removal","flag":"verbose","replacement":"--log-level debug","removal_version":"2.0.0"},"filename":"crates/adapteros-cli/src/validation.rs","line_number":32,"threadName":"validation::tests::test_deprecated_flags_warning_mode","threadId":"ThreadId(271)"}
test validation::tests::test_deprecated_flags_quiet_flag ... ok
test validation::tests::test_deprecated_flags_strict_mode ... ok
test validation::tests::test_deprecated_flags_strict_mode_error_details ... ok
test validation::tests::test_deprecated_flags_warning_mode ... ok
test validation::tests::test_deprecated_flags_without_dashes ... ok
test validation::tests::test_error_display_format ... ok
test validation::tests::test_exit_code_category_for_cli_errors ... ok
test validation::tests::test_validate_retry_attempt_auth_error ... ok
test validation::tests::test_validate_retry_attempt_authz_error ... ok
test validation::tests::test_validate_retry_attempt_circuit_breaker_half_open ... ok
test validation::tests::test_validate_retry_attempt_determinism_violation ... ok
test validation::tests::test_validate_retry_attempt_error_details ... ok
test validation::tests::test_validate_retry_attempt_invalid_manifest ... ok
test validation::tests::test_validate_retry_attempt_io_error_retriable ... ok
test validation::tests::test_validate_retry_attempt_network_error ... ok
test validation::tests::test_validate_retry_attempt_parse_error ... ok
test validation::tests::test_validate_retry_attempt_policy_violation ... ok
test validation::tests::test_validate_retry_attempt_timeout_error ... ok
test validation::tests::test_validate_retry_attempt_validation_error ... ok
test validation::tests::test_validate_utf8_empty_input ... ok
test validation::tests::test_validate_utf8_error_includes_context ... ok
test validation::tests::test_validate_utf8_error_suggests_binary_flag ... ok
test validation::tests::test_validate_utf8_incomplete_multibyte ... ok
test validation::tests::test_validate_utf8_invalid ... ok
test validation::tests::test_validate_utf8_invalid_at_end ... ok
test validation::tests::test_validate_utf8_invalid_at_start ... ok
test validation::tests::test_validate_utf8_multibyte_characters ... ok
test validation::tests::test_validate_utf8_overlong_encoding ... ok
test validation::tests::test_validate_utf8_valid ... ok
test validation::tests::test_validate_writable_path_current_dir_explicit ... ok
test validation::tests::test_validate_writable_path_error_includes_operation ... ok
test validation::tests::test_validate_writable_path_error_includes_path ... ok
test validation::tests::test_validate_writable_path_nonexistent_parent ... ok
test validation::tests::test_validate_writable_path_relative_path ... ok
test validation::tests::test_validate_writable_path_root_path ... ok
test validation::tests::test_validation_pipeline_deprecated_then_encoding ... ok
test validation::tests::test_validate_writable_path_existing_writable_dir ... ok
test validation::tests::test_validate_writable_path_existing_readonly_file ... ok
test http_client::tests::send_with_refresh_fails_when_refresh_denied ... ok
test commands::auth_cli::tests::login_stores_and_preloads_env_without_leaking_token ... FAILED
test http_client::tests::send_with_refresh_retries_on_401 ... ok
{"timestamp":"2026-01-05T18:26:10.282474Z","level":"WARN","fields":{"message":"CLI warning","message":"Tenant mismatch: stored tenant 'stored-tenant' vs requested 'other-tenant'. If intentional (admin), continue; otherwise re-run login or use --tenant-id."},"filename":"crates/adapteros-cli/src/output.rs","line_number":180,"threadName":"commands::auth_cli::tests::warns_on_tenant_mismatch","threadId":"ThreadId(58)"}
test commands::auth_cli::tests::warns_on_tenant_mismatch ... ok
{"timestamp":"2026-01-05T18:26:10.284255Z","level":"INFO","fields":{"message":"Listing chat sessions"},"filename":"crates/adapteros-cli/src/commands/chat.rs","line_number":429,"threadName":"commands::chat::tests::cli_session_uses_source_type_and_lists_history","threadId":"ThreadId(59)"}
{"timestamp":"2026-01-05T18:26:10.284658Z","level":"INFO","fields":{"message":"Showing chat history","session_id":"session-mock"},"filename":"crates/adapteros-cli/src/commands/chat.rs","line_number":489,"threadName":"commands::chat::tests::cli_session_uses_source_type_and_lists_history","threadId":"ThreadId(59)"}
test commands::chat::tests::cli_session_uses_source_type_and_lists_history ... ok
{"timestamp":"2026-01-05T18:26:10.296161Z","level":"INFO","fields":{"message":"Running single prompt","prompt":"hello cli","stack":"None"},"filename":"crates/adapteros-cli/src/commands/chat.rs","line_number":402,"threadName":"commands::chat::tests::prompt_flow_posts_cli_prompt_and_messages","threadId":"ThreadId(60)"}
test commands::chat::tests::prompt_flow_posts_cli_prompt_and_messages ... ok
{"timestamp":"2026-01-05T18:26:10.297480Z","level":"INFO","fields":{"message":"Validating configuration","env_file":"\"/var/folders/sc/kmhskt6n2vz188kcz2z_40f40000gp/T/.tmpmyn5Jw/.env\"","production":false},"filename":"crates/adapteros-cli/src/commands/config.rs","line_number":454,"threadName":"commands::config::tests::test_perform_validation_bad_env","threadId":"ThreadId(74)"}
{"timestamp":"2026-01-05T18:26:10.297696Z","level":"DEBUG","fields":{"message":"Mapped AOS_ env var","env_var":"AOS_DETERMINISTIC_DEBUG","config_key":"deterministic.debug"},"filename":"crates/adapteros-config/src/loader.rs","line_number":221,"threadName":"commands::config::tests::test_perform_validation_bad_env","threadId":"ThreadId(74)"}
{"timestamp":"2026-01-05T18:26:10.297701Z","level":"DEBUG","fields":{"message":"Mapped AOS_ env var","env_var":"AOS_DEV_NO_AUTH","config_key":"dev.no.auth"},"filename":"crates/adapteros-config/src/loader.rs","line_number":221,"threadName":"commands::config::tests::test_perform_validation_bad_env","threadId":"ThreadId(74)"}
{"timestamp":"2026-01-05T18:26:10.297705Z","level":"DEBUG","fields":{"message":"Mapped AOS_ env var","env_var":"AOS_SECURITY_DEV_LOGIN_ENABLED","config_key":"security.dev.login.enabled"},"filename":"crates/adapteros-config/src/loader.rs","line_number":221,"threadName":"commands::config::tests::test_perform_validation_bad_env","threadId":"ThreadId(74)"}
{"timestamp":"2026-01-05T18:26:10.297707Z","level":"DEBUG","fields":{"message":"Mapped AOS_ env var","env_var":"AOS_DEMO_MODE","config_key":"demo.mode"},"filename":"crates/adapteros-config/src/loader.rs","line_number":221,"threadName":"commands::config::tests::test_perform_validation_bad_env","threadId":"ThreadId(74)"}
{"timestamp":"2026-01-05T18:26:10.297709Z","level":"DEBUG","fields":{"message":"Mapped AOS_ env var","env_var":"AOS_SERVER_HOST","config_key":"server.host"},"filename":"crates/adapteros-config/src/loader.rs","line_number":221,"threadName":"commands::config::tests::test_perform_validation_bad_env","threadId":"ThreadId(74)"}
{"timestamp":"2026-01-05T18:26:10.297711Z","level":"DEBUG","fields":{"message":"Mapped AOS_ env var","env_var":"AOS_SERVER_PORT","config_key":"server.port"},"filename":"crates/adapteros-config/src/loader.rs","line_number":221,"threadName":"commands::config::tests::test_perform_validation_bad_env","threadId":"ThreadId(74)"}
{"timestamp":"2026-01-05T18:26:10.297713Z","level":"DEBUG","fields":{"message":"Mapped AOS_ env var","env_var":"AOS_UI_PORT","config_key":"ui.port"},"filename":"crates/adapteros-config/src/loader.rs","line_number":221,"threadName":"commands::config::tests::test_perform_validation_bad_env","threadId":"ThreadId(74)"}
{"timestamp":"2026-01-05T18:26:10.297715Z","level":"DEBUG","fields":{"message":"Mapped AOS_ env var","env_var":"AOS_PANEL_PORT","config_key":"panel.port"},"filename":"crates/adapteros-config/src/loader.rs","line_number":221,"threadName":"commands::config::tests::test_perform_validation_bad_env","threadId":"ThreadId(74)"}
{"timestamp":"2026-01-05T18:26:10.297717Z","level":"DEBUG","fields":{"message":"Mapped AOS_ env var","env_var":"AOS_LOG_LEVEL","config_key":"log.level"},"filename":"crates/adapteros-config/src/loader.rs","line_number":221,"threadName":"commands::config::tests::test_perform_validation_bad_env","threadId":"ThreadId(74)"}
{"timestamp":"2026-01-05T18:26:10.297719Z","level":"DEBUG","fields":{"message":"Mapped AOS_ env var","env_var":"AOS_DATABASE_TIMEOUT","config_key":"database.timeout"},"filename":"crates/adapteros-config/src/loader.rs","line_number":221,"threadName":"commands::config::tests::test_perform_validation_bad_env","threadId":"ThreadId(74)"}
{"timestamp":"2026-01-05T18:26:10.297721Z","level":"DEBUG","fields":{"message":"Mapped AOS_ env var","env_var":"AOS_WORKER_SHUTDOWN_TIMEOUT","config_key":"worker.shutdown.timeout"},"filename":"crates/adapteros-config/src/loader.rs","line_number":221,"threadName":"commands::config::tests::test_perform_validation_bad_env","threadId":"ThreadId(74)"}
{"timestamp":"2026-01-05T18:26:10.297723Z","level":"DEBUG","fields":{"message":"Mapped AOS_ env var","env_var":"AOS_DOWNLOAD_TIMEOUT_SECS","config_key":"download.timeout.secs"},"filename":"crates/adapteros-config/src/loader.rs","line_number":221,"threadName":"commands::config::tests::test_perform_validation_bad_env","threadId":"ThreadId(74)"}
{"timestamp":"2026-01-05T18:26:10.297724Z","level":"DEBUG","fields":{"message":"Mapped AOS_ env var","env_var":"AOS_SECURITY_JWT_SECRET","config_key":"security.jwt.secret"},"filename":"crates/adapteros-config/src/loader.rs","line_number":221,"threadName":"commands::config::tests::test_perform_validation_bad_env","threadId":"ThreadId(74)"}
{"timestamp":"2026-01-05T18:26:10.297727Z","level":"DEBUG","fields":{"message":"Mapped AOS_ env var","env_var":"AOS_SECURITY_JWT_MODE","config_key":"security.jwt.mode"},"filename":"crates/adapteros-config/src/loader.rs","line_number":221,"threadName":"commands::config::tests::test_perform_validation_bad_env","threadId":"ThreadId(74)"}
{"timestamp":"2026-01-05T18:26:10.297728Z","level":"DEBUG","fields":{"message":"Mapped AOS_ env var","env_var":"AOS_MODEL_CACHE_DIR","config_key":"model.cache.dir"},"filename":"crates/adapteros-config/src/loader.rs","line_number":221,"threadName":"commands::config::tests::test_perform_validation_bad_env","threadId":"ThreadId(74)"}
{"timestamp":"2026-01-05T18:26:10.297731Z","level":"DEBUG","fields":{"message":"Mapped AOS_ env var","env_var":"AOS_BASE_MODEL_ID","config_key":"base_model.id"},"filename":"crates/adapteros-config/src/loader.rs","line_number":221,"threadName":"commands::config::tests::test_perform_validation_bad_env","threadId":"ThreadId(74)"}
{"timestamp":"2026-01-05T18:26:10.297733Z","level":"DEBUG","fields":{"message":"Mapped AOS_ env var","env_var":"AOS_MODEL_PATH","config_key":"model.path"},"filename":"crates/adapteros-config/src/loader.rs","line_number":221,"threadName":"commands::config::tests::test_perform_validation_bad_env","threadId":"ThreadId(74)"}
{"timestamp":"2026-01-05T18:26:10.297735Z","level":"DEBUG","fields":{"message":"Mapped AOS_ env var","env_var":"AOS_MLX_PATH","config_key":"mlx.path"},"filename":"crates/adapteros-config/src/loader.rs","line_number":221,"threadName":"commands::config::tests::test_perform_validation_bad_env","threadId":"ThreadId(74)"}
{"timestamp":"2026-01-05T18:26:10.297737Z","level":"DEBUG","fields":{"message":"Mapped AOS_ env var","env_var":"AOS_MODEL_CACHE_MAX_MB","config_key":"model.cache.max.mb"},"filename":"crates/adapteros-config/src/loader.rs","line_number":221,"threadName":"commands::config::tests::test_perform_validation_bad_env","threadId":"ThreadId(74)"}
{"timestamp":"2026-01-05T18:26:10.297739Z","level":"DEBUG","fields":{"message":"Mapped AOS_ env var","env_var":"AOS_MANIFEST_PATH","config_key":"manifest.path"},"filename":"crates/adapteros-config/src/loader.rs","line_number":221,"threadName":"commands::config::tests::test_perform_validation_bad_env","threadId":"ThreadId(74)"}
{"timestamp":"2026-01-05T18:26:10.297741Z","level":"DEBUG","fields":{"message":"Mapped AOS_ env var","env_var":"AOS_WORKER_MANIFEST","config_key":"worker.manifest"},"filename":"crates/adapteros-config/src/loader.rs","line_number":221,"threadName":"commands::config::tests::test_perform_validation_bad_env","threadId":"ThreadId(74)"}
{"timestamp":"2026-01-05T18:26:10.297742Z","level":"DEBUG","fields":{"message":"Mapped AOS_ env var","env_var":"AOS_DEV_JWT_SECRET","config_key":"dev.jwt.secret"},"filename":"crates/adapteros-config/src/loader.rs","line_number":221,"threadName":"commands::config::tests::test_perform_validation_bad_env","threadId":"ThreadId(74)"}
{"timestamp":"2026-01-05T18:26:10.297744Z","level":"DEBUG","fields":{"message":"Mapped AOS_ env var","env_var":"AOS_DATABASE_URL","config_key":"database.url"},"filename":"crates/adapteros-config/src/loader.rs","line_number":221,"threadName":"commands::config::tests::test_perform_validation_bad_env","threadId":"ThreadId(74)"}
{"timestamp":"2026-01-05T18:26:10.297766Z","level":"WARN","fields":{"message":"Using legacy ADAPTEROS_ variable; please migrate to AOS_*","deprecated_var":"ADAPTEROS_ENV","replacement":"AOS_ENV"},"filename":"crates/adapteros-config/src/loader.rs","line_number":278,"threadName":"commands::config::tests::test_perform_validation_bad_env","threadId":"ThreadId(74)"}
{"timestamp":"2026-01-05T18:26:10.297784Z","level":"DEBUG","fields":{"message":"Loaded 24 environment variables"},"filename":"crates/adapteros-config/src/loader.rs","line_number":291,"threadName":"commands::config::tests::test_perform_validation_bad_env","threadId":"ThreadId(74)"}
{"timestamp":"2026-01-05T18:26:10.297801Z","level":"DEBUG","fields":{"message":"Loaded 0 CLI arguments"},"filename":"crates/adapteros-config/src/loader.rs","line_number":328,"threadName":"commands::config::tests::test_perform_validation_bad_env","threadId":"ThreadId(74)"}
{"timestamp":"2026-01-05T18:26:10.297835Z","level":"WARN","fields":{"message":"Invalid config value, falling back to default","key":"database.url","expected":"url","actual":"not-a-valid-url"},"filename":"crates/adapteros-config/src/precedence.rs","line_number":444,"threadName":"commands::config::tests::test_perform_validation_bad_env","threadId":"ThreadId(74)"}
{"timestamp":"2026-01-05T18:26:10.297886Z","level":"INFO","fields":{"message":"Configuration frozen with hash: a84be20888f732f21b0395709faebc74267220b0011e50e28bab7608e9b9f5fc"},"filename":"crates/adapteros-config/src/precedence.rs","line_number":50,"threadName":"commands::config::tests::test_perform_validation_bad_env","threadId":"ThreadId(74)"}
{"timestamp":"2026-01-05T18:26:10.297889Z","level":"INFO","fields":{"message":"Configuration loaded and frozen: a84be20888f732f21b0395709faebc74267220b0011e50e28bab7608e9b9f5fc"},"filename":"crates/adapteros-config/src/loader.rs","line_number":58,"threadName":"commands::config::tests::test_perform_validation_bad_env","threadId":"ThreadId(74)"}
test commands::config::tests::test_perform_validation_bad_env ... ok
{"timestamp":"2026-01-05T18:26:10.298331Z","level":"INFO","fields":{"message":"Validating configuration","env_file":"\"/var/folders/sc/kmhskt6n2vz188kcz2z_40f40000gp/T/.tmpOuVyI2/.env\"","production":false},"filename":"crates/adapteros-cli/src/commands/config.rs","line_number":454,"threadName":"commands::config::tests::test_perform_validation_good_env","threadId":"ThreadId(75)"}
{"timestamp":"2026-01-05T18:26:10.298423Z","level":"DEBUG","fields":{"message":"Mapped AOS_ env var","env_var":"AOS_DETERMINISTIC_DEBUG","config_key":"deterministic.debug"},"filename":"crates/adapteros-config/src/loader.rs","line_number":221,"threadName":"commands::config::tests::test_perform_validation_good_env","threadId":"ThreadId(75)"}
{"timestamp":"2026-01-05T18:26:10.298428Z","level":"DEBUG","fields":{"message":"Mapped AOS_ env var","env_var":"AOS_DEV_NO_AUTH","config_key":"dev.no.auth"},"filename":"crates/adapteros-config/src/loader.rs","line_number":221,"threadName":"commands::config::tests::test_perform_validation_good_env","threadId":"ThreadId(75)"}
{"timestamp":"2026-01-05T18:26:10.298431Z","level":"DEBUG","fields":{"message":"Mapped AOS_ env var","env_var":"AOS_SECURITY_DEV_LOGIN_ENABLED","config_key":"security.dev.login.enabled"},"filename":"crates/adapteros-config/src/loader.rs","line_number":221,"threadName":"commands::config::tests::test_perform_validation_good_env","threadId":"ThreadId(75)"}
